"y" "n" "arrond" "wf" "wn"
0 2 36 4938.422 2.547
0 1 36 4938.422 2.547
0 2 37 1475.197 0.716
0 3 37 1475.197 0.716
0 2 37 1651.439 0.801
1 2 37 1651.439 0.801
1 2 37 1770.395 0.859
2 4 37 1770.395 0.859
0 3 37 1675.834 0.813
1 1 37 1907.681 0.925
2 3 37 1907.681 0.925
1 1 37 2846.496 1.381
0 1 37 1522.775 0.739
0 2 37 1398.512 0.678
1 1 37 1542.985 0.749
1 2 37 1424.51 0.691
2 6 37 1538.14 0.746
3 3 37 2652.591 1.287
2 3 37 2652.591 1.287
0 1 37 3045.56 1.477
0 1 37 5579.646 2.707
1 1 37 5244.225 2.544
1 1 37 4928.456 2.391
0 3 41 1386.056 0.628
0 3 41 1386.056 0.628
0 7 41 1551.648 0.703
0 2 41 1551.648 0.703
1 2 41 1890.317 0.856
2 7 41 1890.317 0.856
0 5 41 1630.951 0.738
2 7 41 1937.348 0.877
0 3 41 2205.375 0.999
3 5 41 2205.375 0.999
1 2 41 3153.114 1.428
1 2 41 3153.114 1.428
0 1 41 3059.427 1.385
3 4 41 3876.582 1.755
3 4 41 3546.105 1.606
4 4 41 3546.105 1.606
0 4 41 1464.016 0.663
3 5 41 1464.016 0.663
1 5 41 1344.547 0.609
1 7 41 1344.547 0.609
0 3 41 1694.188 0.767
0 1 41 1694.188 0.767
5 14 41 1564.103 0.708
2 3 41 1800.04 0.815
2 5 41 2039.01 0.923
3 3 41 2039.01 0.923
1 1 41 3074.917 1.392
2 4 41 3074.917 1.392
3 3 41 3530.451 1.598
0 1 41 6381.721 2.889
0 1 41 5998.082 2.716
2 2 41 5998.082 2.716
0 1 41 5636.922 2.552
0 4 42 1483.214 0.67
1 2 42 1483.214 0.67
1 3 42 1660.413 0.75
0 1 42 1660.413 0.75
0 4 42 1902.038 0.859
1 5 42 1902.038 0.859
0 1 42 1641.063 0.741
1 1 42 1889.158 0.853
0 1 42 2150.518 0.971
1 3 42 3245.011 1.466
0 2 42 3245.011 1.466
1 1 42 3148.594 1.422
1 2 42 3644.191 1.646
1 1 42 3333.526 1.506
0 1 42 3333.526 1.506
0 1 42 3846.121 1.737
0 4 42 1574.417 0.711
0 3 42 1574.417 0.711
0 4 42 1445.94 0.653
0 6 42 1445.94 0.653
1 6 42 1693.013 0.765
0 2 42 1693.013 0.765
2 5 42 1563.018 0.706
2 5 42 1798.661 0.812
2 6 42 2037.447 0.92
0 3 42 2037.447 0.92
1 2 42 3082.147 1.392
3 5 42 3538.752 1.598
1 1 42 5485.46 2.478
0 1 42 5485.46 2.478
1 1 42 5155.166 2.329
1 1 42 5155.166 2.329
0 2 43 1585.549 0.705
0 1 43 1774.975 0.789
0 4 43 1774.975 0.789
0 2 43 2075.438 0.923
1 1 43 2075.438 0.923
0 1 43 1790.671 0.796
1 1 43 1998.124 0.889
0 1 43 2274.559 1.012
0 1 43 3667.495 1.631
0 1 43 3558.525 1.583
1 2 43 4267.949 1.898
0 3 43 1634.155 0.727
0 2 43 1500.803 0.667
0 1 43 1832.031 0.815
0 4 43 1691.362 0.752
0 4 43 2109.357 0.938
1 1 43 3462.482 1.54
0 2 43 3975.432 1.768
1 13 44 1598.288 0.701
1 11 44 1598.288 0.701
1 4 44 1789.236 0.785
4 12 44 1789.236 0.785
3 7 44 2138.554 0.938
1 7 44 2138.554 0.938
4 11 44 1845.128 0.809
2 5 44 1974.523 0.866
3 11 44 2247.693 0.986
2 4 44 2247.693 0.986
1 3 44 3354.595 1.472
0 2 44 3354.595 1.472
7 8 44 3254.922 1.428
3 5 44 4080.676 1.79
1 1 44 3732.8 1.637
1 1 44 4306.792 1.889
5 13 44 1694.942 0.744
0 7 44 1694.942 0.744
2 11 44 1556.63 0.683
2 3 44 1556.63 0.683
1 4 44 1922.863 0.844
2 10 44 1922.863 0.844
1 12 44 1775.22 0.779
5 16 44 1880.781 0.825
2 5 44 2130.47 0.935
2 10 44 2130.47 0.935
2 4 44 3290.78 1.444
1 3 44 3290.78 1.444
2 4 44 3778.293 1.657
1 1 44 6642.587 2.914
1 2 44 6243.267 2.739
4 5 44 6243.267 2.739
0 1 44 5867.343 2.574
1 2 45 2112.111 0.834
0 1 45 2112.111 0.834
0 2 45 2326.61 0.919
1 2 45 2326.61 0.919
2 3 45 2007.381 0.793
0 1 45 2309.278 0.912
1 2 45 3820.483 1.508
0 2 45 2011.277 0.794
1 3 45 2011.277 0.794
1 5 45 1847.15 0.729
0 1 45 1847.15 0.729
1 2 45 2047.919 0.809
0 2 45 2047.919 0.809
1 3 45 1890.673 0.746
0 1 45 2133.703 0.842
1 4 45 2416.969 0.954
1 3 45 3679.43 1.453
0 2 45 3679.43 1.453
0 1 45 4224.52 1.668
0 1 45 7874.101 3.109
1 6 46 1479.909 0.692
0 6 46 1479.909 0.692
1 5 46 1656.713 0.775
3 6 46 1656.713 0.775
0 1 46 1817.029 0.85
0 3 46 1817.029 0.85
0 3 46 1567.718 0.733
0 8 46 1720.32 0.804
1 5 46 1958.321 0.916
2 3 46 1958.321 0.916
0 2 46 3124.493 1.461
1 2 46 3124.493 1.461
0 2 46 3031.657 1.417
0 2 46 3448.862 1.613
1 1 46 3639.969 1.702
0 2 46 1564.734 0.732
0 3 46 1564.734 0.732
0 4 46 1437.047 0.672
0 5 46 1437.047 0.672
1 3 46 1657.74 0.775
0 5 46 1657.74 0.775
1 8 46 1530.453 0.716
0 4 46 1647.498 0.77
0 2 46 1866.217 0.873
0 3 46 1866.217 0.873
2 3 46 2980.892 1.394
0 2 46 2980.892 1.394
1 4 46 3422.497 1.6
3 3 46 5292.028 2.474
1 3 46 4973.896 2.326
1 2 46 4674.405 2.186
0 2 51 1781.483 0.673
0 3 51 1994.317 0.753
0 3 51 1994.317 0.753
0 1 51 2097.218 0.792
1 1 51 2090.254 0.789
0 1 51 2379.435 0.898
1 1 51 3336.656 1.26
1 2 51 3237.516 1.222
1 1 51 4204.684 1.587
0 1 51 1855.746 0.701
1 1 51 1704.311 0.643
0 1 51 1704.311 0.643
0 1 51 1879.963 0.71
0 1 51 1984.3 0.749
2 3 51 2247.732 0.849
0 2 51 2247.732 0.849
2 3 51 3345.229 1.263
2 2 51 3345.229 1.263
2 2 51 3840.808 1.45
0 1 51 6520.281 2.462
0 8 52 1500.77 0.733
0 3 52 1500.77 0.733
0 5 52 1680.066 0.82
0 6 52 1680.066 0.82
0 4 52 1751.8 0.855
3 14 52 1751.8 0.855
0 15 52 1511.439 0.738
1 14 52 1660.507 0.811
0 9 52 1890.234 0.923
0 9 52 1890.234 0.923
0 5 52 2770.902 1.353
0 4 52 2770.902 1.353
1 5 52 2688.572 1.313
1 6 52 3237.602 1.581
1 4 52 2961.597 1.446
1 2 52 2961.597 1.446
1 2 52 3417.002 1.668
0 5 52 1594.757 0.779
0 4 52 1594.757 0.779
0 10 52 1464.62 0.715
0 10 52 1464.62 0.715
0 6 52 1590.225 0.776
1 7 52 1590.225 0.776
1 12 52 1468.122 0.717
0 7 52 1658.142 0.81
0 7 52 1878.273 0.917
1 7 52 1878.273 0.917
2 7 52 2795.417 1.365
1 4 52 2795.417 1.365
0 2 52 3209.544 1.567
0 4 52 6006.183 2.933
1 1 52 5645.12 2.756
0 2 52 5645.12 2.756
0 1 52 5305.213 2.59
1 5 53 1721.582 0.801
0 2 53 1721.582 0.801
0 7 53 1927.26 0.897
1 4 53 2036.988 0.948
2 7 53 2036.988 0.948
2 5 53 1757.497 0.818
1 6 53 1874.931 0.873
2 7 53 2134.323 0.993
1 1 53 2134.323 0.993
1 5 53 3087.055 1.437
0 2 53 3087.055 1.437
0 1 53 3665.882 1.706
0 1 53 3353.367 1.561
0 5 53 1813.779 0.844
0 6 53 1813.779 0.844
0 2 53 1665.769 0.775
1 7 53 1665.769 0.775
0 2 53 1853.039 0.862
2 3 53 1853.039 0.862
1 9 53 1710.757 0.796
1 5 53 1952.836 0.909
1 3 53 2212.09 1.029
3 7 53 2212.09 1.029
2 4 53 3189.292 1.484
1 1 53 3189.292 1.484
0 1 53 6956.175 3.237
1 1 53 6144.333 2.859
0 4 54 1195.9 0.634
0 1 54 1338.774 0.71
1 3 54 1338.774 0.71
0 1 54 1208.435 0.641
0 1 54 1254.197 0.665
0 3 54 1427.712 0.757
1 2 54 1427.712 0.757
0 2 54 2285.234 1.211
0 2 54 2217.334 1.175
0 1 54 1285.92 0.682
0 1 54 1285.92 0.682
0 1 54 1180.985 0.626
2 4 54 1180.985 0.626
1 4 54 1256.173 0.666
1 1 54 1256.173 0.666
0 1 54 1222.08 0.648
0 1 54 1384.32 0.734
2 5 54 1384.32 0.734
2 3 54 2286.809 1.212
0 1 54 2286.809 1.212
1 2 54 2625.589 1.392
0 1 54 4864.681 2.579
0 2 54 4572.24 2.424
0 1 54 4296.933 2.278
2 2 54 4296.933 2.278
0 1 55 1440.598 0.789
0 3 55 1440.598 0.789
0 3 55 1612.706 0.884
0 3 55 1612.706 0.884
0 5 55 1609.852 0.882
2 5 55 1609.852 0.882
0 7 55 1388.968 0.761
0 2 55 1590.106 0.871
0 3 55 1810.093 0.992
0 2 55 1810.093 0.992
0 2 55 2607.438 1.429
1 3 55 2529.965 1.386
1 1 55 3063.724 1.679
1 6 55 1526.87 0.837
2 7 55 1526.87 0.837
0 2 55 1402.273 0.768
0 2 55 1402.273 0.768
1 3 55 1480.537 0.811
2 7 55 1480.537 0.811
1 4 55 1366.857 0.749
2 7 55 1591.914 0.872
0 1 55 1803.253 0.988
0 3 55 1803.253 0.988
1 5 55 2598.238 1.424
1 2 55 2598.238 1.424
0 1 55 2983.154 1.634
0 1 55 5356.652 2.935
1 1 55 5034.636 2.758
0 1 55 4731.487 2.592
1 2 56 1486.856 0.764
0 4 56 1486.856 0.764
1 4 56 1664.49 0.856
0 2 56 1664.49 0.856
1 2 56 1641.32 0.844
2 4 56 1641.32 0.844
1 3 56 1416.118 0.728
4 9 56 1668.652 0.858
1 5 56 1899.505 0.977
1 4 56 2786.172 1.432
0 1 56 2786.172 1.432
0 1 56 2703.389 1.39
0 5 56 1564.367 0.804
0 3 56 1564.367 0.804
0 3 56 1436.71 0.739
0 2 56 1436.71 0.739
0 1 56 1477.068 0.759
0 2 56 1477.068 0.759
0 2 56 1363.654 0.701
0 3 56 1637.358 0.842
3 4 56 1854.731 0.954
0 1 56 1854.731 0.954
1 2 56 2777.701 1.428
0 1 56 2777.701 1.428
1 2 56 3189.204 1.64
0 1 56 5435.282 2.794
1 1 56 5435.282 2.794
1 1 56 5108.009 2.626
0 2 57 1781.092 0.725
1 4 57 1781.092 0.725
0 1 57 1993.878 0.811
0 3 57 2108.084 0.858
1 2 57 2108.084 0.858
1 5 57 1818.838 0.74
0 2 57 2011.858 0.819
1 4 57 2290.193 0.932
1 2 57 2290.193 0.932
1 1 57 3317.804 1.35
1 1 57 3219.224 1.31
1 1 57 3810.438 1.551
1 1 57 1854.823 0.755
0 3 57 1703.464 0.693
0 4 57 1703.464 0.693
1 2 57 1869.828 0.761
1 5 57 1869.828 0.761
3 5 57 1726.257 0.703
1 2 57 1914.877 0.779
1 1 57 2169.092 0.883
1 2 57 2169.092 0.883
1 1 57 3777.754 1.537
2 2 57 7071.27 2.878
1 2 57 7071.27 2.878
1 1 57 6645.491 2.705
0 4 61 2017.992 0.814
0 4 61 2017.992 0.814
0 2 61 2259.081 0.912
0 1 61 1823.388 0.736
0 1 61 2244.403 0.906
0 1 61 2554.91 1.031
0 2 61 3424.947 1.382
0 1 61 3424.947 1.382
0 1 61 4060.119 1.639
1 1 61 2078.906 0.839
0 4 61 2078.906 0.839
0 1 61 1909.26 0.771
0 2 61 1909.26 0.771
0 1 61 1931.849 0.78
2 2 61 1931.849 0.78
0 1 61 1783.516 0.72
2 3 61 2158.816 0.871
0 1 61 2445.416 0.987
1 3 61 2445.416 0.987
1 2 61 3376.469 1.363
1 1 61 3876.677 1.565
0 1 61 6902.027 2.786
1 7 62 1539.341 0.708
2 12 62 1539.341 0.708
2 11 62 1723.246 0.793
4 15 62 1723.246 0.793
3 7 62 1913.811 0.88
1 6 62 1913.811 0.88
4 9 62 1651.221 0.759
6 10 62 1790.035 0.823
6 15 62 2037.681 0.937
7 13 62 2037.681 0.937
1 6 62 3072.487 1.413
0 6 62 3072.487 1.413
4 5 62 2981.196 1.371
6 7 62 3846.246 1.769
